Epoch 1: ,validation loss 0.06441693063735962, accuracy 0.06976
Epoch 131: ,validation loss 0.6310700738525391, accuracy 0.22904
Epoch 132: ,validation loss 0.6927215151977539, accuracy 0.22944
Epoch 133: ,validation loss 0.6226729585266113, accuracy 0.22576
Epoch 134: ,validation loss 0.647495408782959, accuracy 0.22696
Epoch 135: ,validation loss 0.6426927742004395, accuracy 0.21784
Epoch 136: ,validation loss 0.6981556234741211, accuracy 0.22928
Epoch 137: ,validation loss 0.672719518737793, accuracy 0.21968
Epoch 138: ,validation loss 0.6826997618103028, accuracy 0.22224
Epoch 139: ,validation loss 0.7186779391479492, accuracy 0.2268
Epoch 140: ,validation loss 0.7221204144287109, accuracy 0.22904
Epoch 141: ,validation loss 0.7906566209411621, accuracy 0.22384
Epoch 142: ,validation loss 0.7365788670349122, accuracy 0.22016
Epoch 143: ,validation loss 0.7443578416442871, accuracy 0.22656
Epoch 144: ,validation loss 0.7130024594116211, accuracy 0.222
Epoch 145: ,validation loss 0.7616061529541016, accuracy 0.22992
Epoch 146: ,validation loss 0.7521139225769043, accuracy 0.22112
Epoch 147: ,validation loss 0.7548612272644043, accuracy 0.22488
Epoch 148: ,validation loss 0.780702426147461, accuracy 0.22776
Epoch 149: ,validation loss 0.7362987728881836, accuracy 0.22792
Epoch 150: ,validation loss 0.8146953091430664, accuracy 0.22608
Epoch 151: ,validation loss 0.7589342991638184, accuracy 0.2216
Epoch 152: ,validation loss 0.7492772399902343, accuracy 0.22064
Epoch 153: ,validation loss 0.8187836737060546, accuracy 0.22152
Epoch 154: ,validation loss 0.818327017364502, accuracy 0.2228
Epoch 155: ,validation loss 0.7800801480102539, accuracy 0.2264
Epoch 156: ,validation loss 0.8334942001342773, accuracy 0.21992
Epoch 157: ,validation loss 0.8363849911499024, accuracy 0.2284
Epoch 158: ,validation loss 0.884064631652832, accuracy 0.22144
Epoch 159: ,validation loss 0.8831176263427735, accuracy 0.22248
Epoch 160: ,validation loss 0.8805773376464844, accuracy 0.21968
Epoch 161: ,validation loss 0.8931037982177734, accuracy 0.2172
Epoch 162: ,validation loss 0.9003322085571289, accuracy 0.22512
Epoch 163: ,validation loss 0.8694849325561523, accuracy 0.22272
Epoch 164: ,validation loss 0.8892941921997071, accuracy 0.22384
Epoch 165: ,validation loss 0.8584914395141602, accuracy 0.22408
Epoch 166: ,validation loss 0.8530391009521484, accuracy 0.21704
Epoch 167: ,validation loss 0.94247431640625, accuracy 0.2264
Epoch 168: ,validation loss 0.9189117926025391, accuracy 0.21944
Epoch 169: ,validation loss 0.9456909716796875, accuracy 0.23128
Epoch 170: ,validation loss 0.9473048056030273, accuracy 0.23168
Epoch 171: ,validation loss 0.9448008053588867, accuracy 0.22112
Epoch 172: ,validation loss 0.9958463653564453, accuracy 0.22136
Epoch 173: ,validation loss 1.0155460232543945, accuracy 0.22184
Epoch 174: ,validation loss 0.9820872723388672, accuracy 0.21912
Epoch 175: ,validation loss 0.9399347204589844, accuracy 0.22
Epoch 176: ,validation loss 0.9720743518066406, accuracy 0.22512
Epoch 177: ,validation loss 0.9591788360595703, accuracy 0.22896
Epoch 178: ,validation loss 1.0168885308837892, accuracy 0.22352
Epoch 179: ,validation loss 1.0003810122680663, accuracy 0.21864
Epoch 180: ,validation loss 0.9798347570800782, accuracy 0.22328
Epoch 181: ,validation loss 1.0512129119873046, accuracy 0.23008
Epoch 182: ,validation loss 1.096350651550293, accuracy 0.22624
Epoch 183: ,validation loss 1.0774840090942384, accuracy 0.22712
Epoch 184: ,validation loss 1.0055831411743164, accuracy 0.2252
Epoch 185: ,validation loss 1.0454513674926758, accuracy 0.2216
Epoch 186: ,validation loss 1.0609653637695313, accuracy 0.22128
Epoch 187: ,validation loss 1.1207876556396483, accuracy 0.23048
Epoch 188: ,validation loss 1.1060943493652344, accuracy 0.22392
Epoch 189: ,validation loss 1.1764119412231446, accuracy 0.22464
Epoch 190: ,validation loss 1.1597640216064453, accuracy 0.22
Epoch 191: ,validation loss 1.1715069595336913, accuracy 0.22392
Epoch 192: ,validation loss 1.1189400701904297, accuracy 0.22376
Epoch 193: ,validation loss 1.177184475402832, accuracy 0.2288
Epoch 194: ,validation loss 1.1956318780517579, accuracy 0.21936
Epoch 195: ,validation loss 1.1907950906372071, accuracy 0.22528
Epoch 196: ,validation loss 1.1867000469970703, accuracy 0.22888
Epoch 197: ,validation loss 1.1783955465698241, accuracy 0.22352
Epoch 198: ,validation loss 1.2317948120117188, accuracy 0.22368
Epoch 199: ,validation loss 1.3114285055541992, accuracy 0.21584
Epoch 200: ,validation loss 1.217700933227539, accuracy 0.2288
Epoch 201: ,validation loss 1.2199428283691407, accuracy 0.22544
Epoch 202: ,validation loss 1.2626631051635742, accuracy 0.22944
Epoch 203: ,validation loss 1.2122965612792969, accuracy 0.22296
Epoch 204: ,validation loss 1.2753772341918945, accuracy 0.22104
Epoch 205: ,validation loss 1.2017774636840821, accuracy 0.21992
Epoch 206: ,validation loss 1.2936623214721679, accuracy 0.22728
Epoch 207: ,validation loss 1.2288525372314454, accuracy 0.2272
Epoch 208: ,validation loss 1.3506109979248047, accuracy 0.22352
Epoch 209: ,validation loss 1.241524553527832, accuracy 0.22232
Epoch 210: ,validation loss 1.2895406240844727, accuracy 0.22464
Epoch 211: ,validation loss 1.460061999206543, accuracy 0.22784
Epoch 212: ,validation loss 1.3798992150878906, accuracy 0.22712
Epoch 213: ,validation loss 1.372064621887207, accuracy 0.21936
Epoch 214: ,validation loss 1.3784108279418945, accuracy 0.2204
Epoch 215: ,validation loss 1.4599886605834962, accuracy 0.22856
Epoch 216: ,validation loss 1.4400547384643554, accuracy 0.224
Epoch 217: ,validation loss 1.4437915921020508, accuracy 0.22688
Epoch 218: ,validation loss 1.4308760531616211, accuracy 0.22368
Epoch 219: ,validation loss 1.4640115017700195, accuracy 0.22424
Epoch 220: ,validation loss 1.412346495666504, accuracy 0.22256
Epoch 221: ,validation loss 1.5168687619018555, accuracy 0.22176
Epoch 222: ,validation loss 1.4697856231689452, accuracy 0.21728
Epoch 223: ,validation loss 1.4255300268554687, accuracy 0.22384
Epoch 224: ,validation loss 1.5070119421386718, accuracy 0.22336
Epoch 225: ,validation loss 1.4927588903808593, accuracy 0.22808
Epoch 226: ,validation loss 1.5160022052001954, accuracy 0.22704
Epoch 227: ,validation loss 1.4237460342407227, accuracy 0.22448
Epoch 228: ,validation loss 1.6032607125854492, accuracy 0.22712
Epoch 229: ,validation loss 1.5384882424926758, accuracy 0.228
Epoch 230: ,validation loss 1.5232103271484374, accuracy 0.22568
Epoch 231: ,validation loss 1.535629054260254, accuracy 0.22096
Epoch 232: ,validation loss 1.5148269439697266, accuracy 0.22152
Epoch 233: ,validation loss 1.6252409121704101, accuracy 0.22416
Epoch 234: ,validation loss 1.6934221295166016, accuracy 0.22784
Epoch 235: ,validation loss 1.7208110900878906, accuracy 0.22664
Epoch 236: ,validation loss 1.761458966064453, accuracy 0.22264
Epoch 237: ,validation loss 1.61820087890625, accuracy 0.22448
Epoch 238: ,validation loss 1.6955125497436523, accuracy 0.22328
Epoch 239: ,validation loss 1.7291717657470702, accuracy 0.22544
Epoch 240: ,validation loss 1.6132965606689453, accuracy 0.21944
Epoch 241: ,validation loss 1.7015974011230468, accuracy 0.22544
Epoch 242: ,validation loss 1.67433608001709, accuracy 0.22328
Epoch 243: ,validation loss 1.7210371405029297, accuracy 0.22776
Epoch 244: ,validation loss 1.6686537854003907, accuracy 0.22856
Epoch 245: ,validation loss 1.736281703491211, accuracy 0.23008
Epoch 246: ,validation loss 1.8269244403076172, accuracy 0.22216
Epoch 247: ,validation loss 1.8257891119384766, accuracy 0.23096
Epoch 248: ,validation loss 1.7964703436279297, accuracy 0.23312
Epoch 249: ,validation loss 1.8748222869873048, accuracy 0.2296
Epoch 250: ,validation loss 1.903697091064453, accuracy 0.23304
Epoch 251: ,validation loss 1.912355751953125, accuracy 0.22704
Epoch 252: ,validation loss 1.826696615600586, accuracy 0.22272
Epoch 253: ,validation loss 1.8522032257080079, accuracy 0.2208
Epoch 254: ,validation loss 1.875691937866211, accuracy 0.2228
Epoch 255: ,validation loss 1.9168308966064453, accuracy 0.22864
Epoch 256: ,validation loss 1.8314148706054687, accuracy 0.22432
Epoch 257: ,validation loss 2.017256362915039, accuracy 0.23288
Epoch 258: ,validation loss 1.951576455078125, accuracy 0.22904
Epoch 259: ,validation loss 1.8779194024658203, accuracy 0.21992
Epoch 260: ,validation loss 1.7793652294921876, accuracy 0.22184
Epoch 261: ,validation loss 1.9503103887939452, accuracy 0.22592
Epoch 262: ,validation loss 1.9072997595214845, accuracy 0.22744
Epoch 263: ,validation loss 2.045640101928711, accuracy 0.22384
Epoch 264: ,validation loss 2.0393553143310545, accuracy 0.22656
Epoch 265: ,validation loss 2.063272655029297, accuracy 0.2284
Epoch 266: ,validation loss 2.028854948730469, accuracy 0.22352
Epoch 267: ,validation loss 2.00873745513916, accuracy 0.22576
Epoch 268: ,validation loss 2.0088402337646483, accuracy 0.2276
Epoch 269: ,validation loss 2.0570094982910154, accuracy 0.226
Epoch 270: ,validation loss 2.014558272705078, accuracy 0.2252
Epoch 271: ,validation loss 2.2354146813964846, accuracy 0.2288
Epoch 272: ,validation loss 2.1049957775878907, accuracy 0.22544
Epoch 273: ,validation loss 2.1250359564208985, accuracy 0.2244
Epoch 274: ,validation loss 2.052684771118164, accuracy 0.22664
Epoch 275: ,validation loss 2.2455466613769532, accuracy 0.23
Epoch 276: ,validation loss 2.2191556860351564, accuracy 0.22912
Epoch 277: ,validation loss 2.209768737792969, accuracy 0.23392
Epoch 278: ,validation loss 2.3157724798583983, accuracy 0.228
Epoch 279: ,validation loss 2.3863755743408204, accuracy 0.23512
Epoch 280: ,validation loss 2.438114926147461, accuracy 0.23192
Epoch 281: ,validation loss 2.2870660217285157, accuracy 0.22848
Epoch 282: ,validation loss 2.130909508666992, accuracy 0.22088
Epoch 283: ,validation loss 2.2204079650878907, accuracy 0.22392
Epoch 284: ,validation loss 2.11913314453125, accuracy 0.22496
Epoch 285: ,validation loss 2.3603517657470703, accuracy 0.23648
Epoch 286: ,validation loss 2.4280013787841797, accuracy 0.23272
Epoch 287: ,validation loss 2.286275487060547, accuracy 0.22536
Epoch 288: ,validation loss 2.362960115966797, accuracy 0.22784
Epoch 289: ,validation loss 2.4164149084472655, accuracy 0.22704
Epoch 290: ,validation loss 2.3922291369628907, accuracy 0.22952
Epoch 291: ,validation loss 2.460462990722656, accuracy 0.22768
Epoch 292: ,validation loss 2.381896201171875, accuracy 0.23432
Epoch 293: ,validation loss 2.566560706176758, accuracy 0.22944
Epoch 294: ,validation loss 2.4430742248535156, accuracy 0.2316
Epoch 295: ,validation loss 2.2806339239501954, accuracy 0.22648
Epoch 296: ,validation loss 2.42243130859375, accuracy 0.22848
Epoch 297: ,validation loss 2.422058173828125, accuracy 0.22336
Epoch 298: ,validation loss 2.394572318725586, accuracy 0.22896
Epoch 299: ,validation loss 2.523713077392578, accuracy 0.23088
Epoch 300: ,validation loss 2.590593983154297, accuracy 0.22872
Epoch 301: ,validation loss 2.5456032415771483, accuracy 0.23248
Epoch 302: ,validation loss 2.469251976928711, accuracy 0.23176
Epoch 303: ,validation loss 2.592441509399414, accuracy 0.23752
Epoch 304: ,validation loss 2.613905595703125, accuracy 0.2304
Epoch 305: ,validation loss 2.5783086688232424, accuracy 0.22584
Epoch 306: ,validation loss 2.589357944946289, accuracy 0.22192
Epoch 307: ,validation loss 2.4884792633056643, accuracy 0.22352
Epoch 308: ,validation loss 2.7393342443847657, accuracy 0.22888
Epoch 309: ,validation loss 2.7065169665527344, accuracy 0.23016
Epoch 310: ,validation loss 2.6820333984375, accuracy 0.22792
Epoch 311: ,validation loss 2.704865327758789, accuracy 0.22632
Epoch 312: ,validation loss 2.7685592449951173, accuracy 0.22856
Epoch 313: ,validation loss 2.72384060546875, accuracy 0.23024
Epoch 314: ,validation loss 2.955559063720703, accuracy 0.22552
Epoch 315: ,validation loss 2.8219597735595703, accuracy 0.22864
Epoch 316: ,validation loss 2.7617634173583983, accuracy 0.22928
Epoch 317: ,validation loss 3.0729072595214846, accuracy 0.22976
Epoch 318: ,validation loss 2.6644984802246094, accuracy 0.22456
Epoch 319: ,validation loss 2.795195698852539, accuracy 0.22664
Epoch 320: ,validation loss 2.8576349017333986, accuracy 0.22832
Epoch 321: ,validation loss 2.810417548828125, accuracy 0.22664
Epoch 322: ,validation loss 3.007661688232422, accuracy 0.22928
Epoch 323: ,validation loss 2.7822500561523436, accuracy 0.22264
Epoch 324: ,validation loss 2.863553645629883, accuracy 0.2252
Epoch 325: ,validation loss 3.03564584777832, accuracy 0.22552
Epoch 326: ,validation loss 2.9948534197998047, accuracy 0.23432
Epoch 327: ,validation loss 2.9332614923095703, accuracy 0.22312
Epoch 328: ,validation loss 3.157408592529297, accuracy 0.22272
Epoch 329: ,validation loss 3.104502053222656, accuracy 0.22824
Epoch 330: ,validation loss 3.1910819091796876, accuracy 0.22472
Epoch 331: ,validation loss 3.14418817199707, accuracy 0.22864
Epoch 332: ,validation loss 3.143531618652344, accuracy 0.232
Epoch 333: ,validation loss 3.1138123205566406, accuracy 0.22872
Epoch 334: ,validation loss 3.198549250488281, accuracy 0.22592
Epoch 335: ,validation loss 3.2713115637207033, accuracy 0.22584
Epoch 336: ,validation loss 3.0681563134765626, accuracy 0.22944
Epoch 337: ,validation loss 3.251565360107422, accuracy 0.22224
Epoch 338: ,validation loss 3.2737880700683593, accuracy 0.2252
Epoch 339: ,validation loss 3.3957723547363283, accuracy 0.22104
Epoch 340: ,validation loss 3.3145682641601564, accuracy 0.23024
Epoch 341: ,validation loss 3.2599773583984377, accuracy 0.22008
Epoch 342: ,validation loss 3.307609608154297, accuracy 0.23144
Epoch 343: ,validation loss 3.3452993798828126, accuracy 0.22768
Epoch 344: ,validation loss 3.361094486083984, accuracy 0.22864
Epoch 345: ,validation loss 3.2355814770507814, accuracy 0.22496
Epoch 346: ,validation loss 3.5561566674804688, accuracy 0.22872
Epoch 347: ,validation loss 3.5572379357910155, accuracy 0.22824
Epoch 348: ,validation loss 3.412927081298828, accuracy 0.2268
Epoch 349: ,validation loss 3.442175203857422, accuracy 0.22704
Epoch 350: ,validation loss 3.3885292700195313, accuracy 0.22504
Epoch 351: ,validation loss 3.2597408404541017, accuracy 0.22872
Epoch 352: ,validation loss 3.5408185888671877, accuracy 0.22936
Epoch 353: ,validation loss 3.299330008544922, accuracy 0.23184
Epoch 354: ,validation loss 3.538202947998047, accuracy 0.22824
Epoch 355: ,validation loss 3.5743901171875, accuracy 0.2284
Epoch 356: ,validation loss 3.419716690673828, accuracy 0.22696
Epoch 357: ,validation loss 3.4258005859375, accuracy 0.22416
Epoch 358: ,validation loss 3.475454832763672, accuracy 0.224
Epoch 359: ,validation loss 3.5900943395996094, accuracy 0.23088
Epoch 360: ,validation loss 3.664261015625, accuracy 0.22912
Epoch 361: ,validation loss 3.945734030761719, accuracy 0.2388
Epoch 362: ,validation loss 3.8194966345214842, accuracy 0.2264
Epoch 363: ,validation loss 3.6852526538085937, accuracy 0.22592
Epoch 364: ,validation loss 3.748523240966797, accuracy 0.23216
Epoch 365: ,validation loss 3.703038171386719, accuracy 0.22808
Epoch 366: ,validation loss 4.03748349975586, accuracy 0.23048
Epoch 367: ,validation loss 3.768413681640625, accuracy 0.22624
Epoch 368: ,validation loss 3.855376802978516, accuracy 0.22792
Epoch 369: ,validation loss 3.878833310546875, accuracy 0.2292
Epoch 370: ,validation loss 3.820699764404297, accuracy 0.23152
Epoch 371: ,validation loss 3.762827989501953, accuracy 0.22744
Epoch 372: ,validation loss 3.8906661669921876, accuracy 0.2288
Epoch 373: ,validation loss 3.700428193359375, accuracy 0.228
Epoch 374: ,validation loss 3.869946999511719, accuracy 0.22424
Epoch 375: ,validation loss 3.8505725708007814, accuracy 0.22544
Epoch 376: ,validation loss 4.0516599389648436, accuracy 0.22792
Epoch 377: ,validation loss 3.945807325439453, accuracy 0.23336
Epoch 378: ,validation loss 4.072280955810547, accuracy 0.232
Epoch 379: ,validation loss 4.035204735107422, accuracy 0.22848
Epoch 380: ,validation loss 3.850714729003906, accuracy 0.228
Epoch 381: ,validation loss 3.972256953125, accuracy 0.22776
Epoch 382: ,validation loss 3.8907684985351563, accuracy 0.224
Epoch 383: ,validation loss 4.047382227783203, accuracy 0.22976
Epoch 384: ,validation loss 4.130019196777344, accuracy 0.2252
Epoch 385: ,validation loss 4.241462469482422, accuracy 0.22904
Epoch 386: ,validation loss 4.082185404052734, accuracy 0.22728
Epoch 387: ,validation loss 3.837716817626953, accuracy 0.2264
Epoch 388: ,validation loss 3.844042449951172, accuracy 0.2284
Epoch 389: ,validation loss 4.282370745849609, accuracy 0.2308
Epoch 390: ,validation loss 4.280272110595703, accuracy 0.23176
Epoch 391: ,validation loss 4.3094817138671875, accuracy 0.23096
Epoch 392: ,validation loss 4.324629809570313, accuracy 0.23312
Epoch 393: ,validation loss 4.516331134033203, accuracy 0.22888
Epoch 394: ,validation loss 4.25750380859375, accuracy 0.22912
Epoch 395: ,validation loss 4.441152989501953, accuracy 0.22704
Epoch 396: ,validation loss 4.319055119628906, accuracy 0.22888
Epoch 397: ,validation loss 4.274900083007813, accuracy 0.23264
Epoch 398: ,validation loss 4.658406766357422, accuracy 0.23488
Epoch 399: ,validation loss 4.426720780029297, accuracy 0.23296
Epoch 400: ,validation loss 4.398719493408203, accuracy 0.23288
